main start at this time 1666119723.799925
ogbn-arxiv
# Nodes: 169343
# Edges: 2315598
# Train: 90941
# Val: 29799
# Test: 48603
# Classes: 40

in feats:  128
Run 00 | Epoch 00123 | Loss 1.3896 | Train 0.6075 | Val 0.6117 | Test 0.5998
Run 00 | Epoch 00124 | Loss 1.3869 | Train 0.6079 | Val 0.6121 | Test 0.6003
Run 00 | Epoch 00125 | Loss 1.3846 | Train 0.6084 | Val 0.6126 | Test 0.6005
Run 00 | Epoch 00126 | Loss 1.3826 | Train 0.6088 | Val 0.6131 | Test 0.6008
Run 00 | Epoch 00127 | Loss 1.3804 | Train 0.6093 | Val 0.6135 | Test 0.6013
Run 00 | Epoch 00128 | Loss 1.3787 | Train 0.6098 | Val 0.6137 | Test 0.6015
Run 00 | Epoch 00129 | Loss 1.3763 | Train 0.6102 | Val 0.6143 | Test 0.6020
Run 00 | Epoch 00130 | Loss 1.3735 | Train 0.6106 | Val 0.6148 | Test 0.6025
Run 00 | Epoch 00131 | Loss 1.3719 | Train 0.6110 | Val 0.6153 | Test 0.6030
Run 00 | Epoch 00132 | Loss 1.3701 | Train 0.6114 | Val 0.6158 | Test 0.6036
Run 00 | Epoch 00133 | Loss 1.3679 | Train 0.6116 | Val 0.6161 | Test 0.6039
Run 00 | Epoch 00134 | Loss 1.3661 | Train 0.6121 | Val 0.6162 | Test 0.6043
Run 00 | Epoch 00135 | Loss 1.3639 | Train 0.6124 | Val 0.6165 | Test 0.6044
Run 00 | Epoch 00136 | Loss 1.3627 | Train 0.6127 | Val 0.6169 | Test 0.6047
Run 00 | Epoch 00137 | Loss 1.3604 | Train 0.6132 | Val 0.6170 | Test 0.6051
Run 00 | Epoch 00138 | Loss 1.3584 | Train 0.6136 | Val 0.6174 | Test 0.6053
Run 00 | Epoch 00139 | Loss 1.3571 | Train 0.6139 | Val 0.6176 | Test 0.6056
Run 00 | Epoch 00140 | Loss 1.3546 | Train 0.6143 | Val 0.6179 | Test 0.6062
Run 00 | Epoch 00141 | Loss 1.3530 | Train 0.6147 | Val 0.6184 | Test 0.6064
Run 00 | Epoch 00142 | Loss 1.3506 | Train 0.6150 | Val 0.6186 | Test 0.6069
Run 00 | Epoch 00143 | Loss 1.3496 | Train 0.6154 | Val 0.6190 | Test 0.6071
Run 00 | Epoch 00144 | Loss 1.3474 | Train 0.6158 | Val 0.6192 | Test 0.6075
Run 00 | Epoch 00145 | Loss 1.3457 | Train 0.6162 | Val 0.6197 | Test 0.6076
Run 00 | Epoch 00146 | Loss 1.3439 | Train 0.6166 | Val 0.6201 | Test 0.6078
Run 00 | Epoch 00147 | Loss 1.3421 | Train 0.6169 | Val 0.6204 | Test 0.6080
Run 00 | Epoch 00148 | Loss 1.3407 | Train 0.6171 | Val 0.6209 | Test 0.6083
Run 00 | Epoch 00149 | Loss 1.3390 | Train 0.6175 | Val 0.6210 | Test 0.6086
